jqr,esp,gram_cat
amñja,entonces el próximo año,adverbo
amñkasa,ya el año entrante,adverbo
amñkha,"de una vez el próximo año. **ámpara.** s. mano; palmo, cuarta",adverbo
amparwishi,sin mano(s),adjetivo
amprani,"que tiene mano(s); s. persona que coge lo ajeno, ladrón(na). **ampi.** s. terreno cuadrangular o rectangular. **ampta.** s. cuesta, subida (viendo desde la parte llana); adv. después de, a partir de",adjetivo
amptaphru,"cuesta arriba. **ampulla.** v. empañar, envolver con pañal a criatura en la cuna para cargarla",adverbo
ampullt’a,"empañar, envolver en pañal(es). ***ampuña, ampuñt’a*** **amruchatyi** , **amrutsa** V. **amuru**. **amsqha.** v. recordar, soñar",verbo
amurshu,"i. mejorar de salud, sanar",verbo
amruwt’qha,"i. mejorar de salud, sanar",verbo
amrutsa,preparar el terreno para sembrar,verbo
amrutspta,poner el feto (manipulando el vientre de la parturienta) en buena posición para el parto,verbo
amruwt’aya,"t. mejorar de salud, hacer mejorar de salud",verbo
amurshuya,"t. mejorar, sanar. **amyu.** adj. no tan dulce, con poca azúcar. **anaku.** s. vestido de mujer, de los hombros hasta debajo del tobillo, de lana negra de alpaca, bajo el cual va una",verbo
antsatha,mucho; fuerte. **ants’a.** v. soltar,adverbo
_ants’shu._,"soltar, desatar; liberar, dejar libre",verbo
_ants’arpaya_,soltar o liberar (intencionalmente),verbo
_ants’kata._,"tirar con piedra, alcanzar con una pedrada.***ant’a, ant’shu, ant’arpaya, ant’kata*** **ants’uru** o **ant’uru.** v. meter",verbo
aniya,dejarse o hacerse fornicar; **anyiri** o **anaykiri.** s. la que se deja fornicar,verbo
anishi,"copular, hacer el amor",verbo
ankata,"copular, fornicar, realizar el acto sexual. V. **aykata** (en **aya** (1))",verbo
anshu,"copular; violar; **anshuta.** adj. y s. usada sexualmente, violada; mujerzuela. **ánima.** s. espíritu, ánima, alma. **animala.** s. animal, ganado. V. **uyuwnushu**. **anqa** (1) adv. afuera; sobre, encima de; adj. mucho(a), abierto(a)",verbo
anqapha,"por fuera, por afuera",adverbo
anqara,"amplio(a), extenso(a), abierto(a) hacia afuera",adjetivo
anqaru,"hacia afuera, para afuera; hacia arriba",adverbo
anqatha,"de afuera, desde (a)fuera",adverbo
anqna,"superficialmente, casi en la superficie; encima de, sobre",adverbo
anqptha,encima; como sobrecarga,adverbo
añchakañ- chaka,"andenes. **Añtyiqi.** s. topónimo (nombre de un lugar de la parte alta de Ayza). **anháriyu.** s. cactus parecido al sanpedro, aprovechable para leña.***anhayru*** **anhgasa.** s. perineo",sustantivo
anhspta,bostezar o suspirar de sueño; suspirar y morir. **anhsa** (2) v,verbo
anhshishpta,comenzar o discutir acaloradamente,verbo
anhshishptaya,"hacer empezar a discutir o a reñir acalora-damente, incitar a la discusión o riña. **apa.** v. cargar; cargar a cuestas; s. carga, bulto o atado que se lleva o carga; **apata** o **apta.** adj. y s. cargado(a), lo cargado, lo que se cargó; **apiri** o **apkiri.** s. cargador(a)",verbo
apani,"embarazada, encinta",adjetivo y sustantivo
apaya,"hacer cargar, hacer llevar o traer (por acequia o río o con animal)",verbo
apishi,cargar consigo,verbo
apkipa,"pasar la carga volteando la esquina, dando la vuelta o pasando sobre muro",verbo
apkusu,cargar mientras uno va,verbo
apkha,subir la carga a parte alta,verbo
aphnatsa,"descargar, bajar carga del techo o de parte alta",verbo
aphnatsshu,"terminar de descargar, bajar toda la carga, bajar todas las cosas",verbo
apnaqa,"cargar por todos lados, cargar por aquí y por allá",verbo
apqha,volver a traer o llevar; traer encomienda pedida,verbo
apqhullu,poner la carga sobre la espalda,verbo
appta,recoger la carga o encomienda enviada; recoger granos (que están juntos),verbo
apshu,"sacar, desocupar (de un lugar cerrado u obstáculos del camino); extraer, explotar (minerales); saquear; **apshkiri.** s. saqueador(a)",verbo
apta,"levantar, recoger",verbo
aphuru,meter la carga o las cosas dentro de la casa; echar ingredientes a la comida; meter objetos (en recipiente o caja),verbo
aphurshu,terminar de meter la carga o las cosas dentro de la casa; terminar de echar ingredientes a la comida; terminar de meter objetos (en recipiente o caja),verbo
aphrushi,"caerse, hundirse, ceder (techo). **apaka.** s. y adj. anciana, vieja",verbo
apakshu,"envejecer (mujer o animales hembras); **apakshuta.** adj. envejecida, avejentada, decrépita. **apts’a.** s. techo.***apt’a*** **apsa.** adv. mañana (día siguiente de hoy); el/al día siguiente",verbo
apsapha,"mañana (día siguiente de hoy); el/al día siguiente; **apsapkasa.** adv. ya al día siguiente, ya mañana",adverbo
apskama,hasta mañana,adverbo
apskha,mañana mismo,adverbo
apsuru,"mañana todo el día. **apshtra.** v. i. rebosar, levantarse (espuma o líquido, sea por hervor o no). V. **jaqshtra**. **apshu** V. **apa**. **apthapa.** v. cubrir (con",adverbo
aphrishi,"destaparse, abrirse.***nayra aphara***",verbo
