jqr,esp,gram_cat
chiwchuña,"pollito(a). **chiwi.** s. chivillo (pájaro negro). **Chiwri.** s. topónimo (quebrada en las alturas de Ayza). **chuchart’a.** v. enfriarse; **chuchart’ata.** adj. enfriado(a), frío(a). **chuchu.** s. y adj. tartamudo(a). (Es de uso limitado y quizá se originó en el remedo del habla de personas afectadas por la uta.) **chuchuqa.** s. maíz cocido y puesto a secar. **chujchu.** s. paludismo. **chujllu.** s. mazorca de maíz, choclo",sustantivo
chukishi,"cornearse, embestirse (uno(a) a otro(a)). **chukllaya.** s. trampa (de cazar). (JMBF) **chukupa.** adj. rojo(a), colorado(a)",verbo
chukupshu,"i. enrojecer, ponerse rojo(a), sonrojarse. **chulu.** s. cholo, muchacho, hombre (vocativo en el trato, no tiene contenido ofensivo). **chulla.** s. rocío; gotas de agua que quedan en el pasto u hojas. **chullpi.** s. avispa. **chumalla.** adj. menudo(a) (granos).***tyhumalla*** **chumpa.** s. chompa. **chumpi.** s. maíz de granos amarillos. Es lo mismo que **kanta** (1). **chumpullu.** v. borbotar. **chunchu.** adj. y s. salvaje (de la selva). **chunqi.** v. picar (ave)",verbo
chunqchunqara,picar o picotear aquí y allá,verbo
chunqpta,"picotear todo sin dejar nada sano, picar o picotear en todas partes del cuerpo. **chunyi.** v. t. calentar (alimentos); v. i. ser abrigado(a) (el clima, un lugar)",verbo
chunypta,"calentar todo lo que está para calentar. **chuñu.** s. papa deshidratada (por frío y sol); harina de maíz. **chupi.** s. sopa (con queso, papa, culantro y habas). **chupu.** s. forúnculo, divieso, chupo. **chuqa.** s. variedad de cactus de tallo delgado. **chuqtata** , **chuqt’a** V. **chuqu**. **chuqu.** v. jalar",verbo
chuqchuqara,jalonear para acá y para allá; manosear,verbo
chuqaya,hacer jalar,verbo
chuqpta,jalar lo que está cayéndose o colgado,verbo
chuqkata,jalar suavemente,verbo
chuqtata,"estirar; estirar y clavar (cuero en la pared); jalar, tensar (cuerda, soga); dejar tendido(a) o inconsciente (por agresión), dejar muerto(a) (por agresión)",verbo
chuqtatishi,"estirarse, tensarse; extenderse (territorio)",verbo
chuqt’a,dar un ajustón (con soga o cuerda),verbo
ch’allaya,"azotar, castigar. **ch’ama.** s. noche, oscuridad (nocturna); v. i. oscurecer, ano- checer",verbo
ch’amja,de noche,adverbo
ch’amt’a,"i. y v. t. oscurecer, anochecer. **ch’amllkha** o **ch’amch’amta.** v. guiñar. **ch’aplli.** v. manosear, meter la mano (en comida o sustancia viscosa o espesa); chapalear. **ch’apllshu.** v. podar, cortar ramas de árbol. ***escoger todo lo bueno y dejar líquido en la sopa*** **ch’apra** o **ch’aapra.** s. planta de las alturas, cuya flor amarilla es adorno en la fiesta de la herranza. ***ty’apra*** **ch’aqch’aqa.** p. e. onom. de ruido de palmadas; s. palmada",verbo
ch’aqch’aqta,"palmear, dar palmada(s). **ch’ara.** s. caballo, yegua",verbo
ch’ayllapshuta,"mujer usada sexualmente, madre soltera (es palabra ofensiva). **ch’ijlla.** s. axila; costado (del cuerpo)",adjetivo y sustantivo
ch’ijllatha,de costado,adverbo
ch’ijllkipa,"ponerse de costado.***ty’ijlla, ty’ijllatha, ty’ijllkipa*** **ch’ikch’iki.** p. e. onom. de la voz del ch’ikch’ikta",verbo
ch’ikch’ikta,"pajarito similar al gorrión pero más pequeño, color entre marrón claro y plomo (más o menos ""color tierra""); v. emitir su voz el ch’ikch’ikta. **ch’iki.** v. moler; s. mano (de batán)",sustantivo
ch’ikara,harina de maíz molido,sustantivo
ch’ikch’ikara,moler rápidamente,verbo
ch’iktrhatrha,empezar a moler,verbo
ch’iknushu,"moledor, mano (de batán)",sustantivo
ch’ikshu,"moler todo. ***ty’iki, ty’ikara, ty’ikty’ikara, ty’iktrhatrha, ty’ikshu*** **ch’illanqpta.** v. correr dando saltos o volteretas; retozar.***ty’illanqpta*** **ch’illi.** s. cáscara de papa o camote; v. pelar tubérculos (crudos)",verbo
ch’illuru,"pelar tubérculos (crudos).***ty’illi, ty’illuru*** **ch’illqi.** v. partir en varias partes (papa, manzana, zapallo, etcétera).***ty’illqi*** **ch’illta.** v. cortar con hacha (tronco, madera); s. trozo de madera del corte con hacha. **ch’illu.** s. cerquillo de abertura por donde entra el pie al",verbo
ch’imallshuta,"pequeño(a), atrofiado(a). **ch’impi** V. **ty’impu** (2).***ty’impi*** **ch’impu** (1) V. **ty’impu** (1). **ch’impu** (2) V. **ty’impu** (2). **ch’inki** V. **ty’inki**. **ch’inqu** V. **ty’inqu**. **ch’iña.** s. liendre",adjetivo
ch’iñshuta,"liendroso(a), con liendres",adjetivo
ch’ipaya,"hacer brillar, hacer resplandecer",verbo
ch’ipi- llanqu,luciérnaga; chispa,sustantivo
ch’ipshu,"pelar todo (naranja, papa cocida). **ch’ipi** (3) s. gorrión; pajarito (en general). **ch’iri.** v. prender (con aguja, espina, alfiler o",verbo
ch’irishi,"prenderse algo uno(a) mismo(a) en el vestido. ***ty’iri, ch’irishi*** **ch’ishpuru.** v. meter cosa pequeña por una rendija, meter con rapidez algo en la boca de otro(a); hacer hueco arrojando objeto duro. **ch’ishqi** (1) v. rebrotar (planta); regenerarse (piel o tejido dañado)",verbo
ch’ishqtata,"brotar (hoja, planta). **ch’ishqi** (2) V. **ch’ushqi** (2). **ch’iwtkata.** v. salpicar; chisguetear (agua o sangre). ***ty’iwtkata*** **ch’uchqu.** v. chupar, saborear chupando.***ty’uchqu*** **ch’ujchu** o **ch’ujchi.** v. dislocarse. **ch’ujmi** o **ch’ujmshu.** v. pisotear, aplastar.***ty’ujmi, ty’ujmshu*** **ch’ulla.** adj. desigual, disparejo(a), descentrado(a)",verbo
ch’ullshu,"ponerse desigual, disparejo(a) o descen- trado(a)",verbo
ch’ullayshuya,"poner desigual o disparejo(a), descentrar. **ch’ulluku.** s. planta de tallo subterráneo. De sus hojas se prepara purgante. **ch’umpi.** adj. rojo(a)",verbo
ch’uyshu,"i. aclarar, asentarse (líquidos).***manar (agua, sangre, etc.)*** ## TS En Cachuy se registra este fonema de modo diferente, con retroflexión, de manera que, por ej., en vez de",verbo
ts’aqkha,"partir violentamente, hender violentamente (leña, piedra).***t’aqi, t’aqkha*** **ts’aaka.** s. hueso; amor, cariño (persona muy querida)",verbo
ts’aakshu,"i. enflaquecer.; **ts’aakshuta.** adj. enflaquecido(a), flaco(a). **ts’itrikuru.** s. yerba de hojas pequeñas. La infusión preparada con su raíz calma el dolor de cabeza. **ts’ina.** s. nalga, trasero; ano; fondo (de recipiente)",verbo
ts’in-yaqna,"en la parte posterior, atrás; detrás, detrás de",adverbo
ts’iqaru,a la izquierda,adverbo
ts’iqatha,"desde la izquierda, de la izquierda. **ts’iqti** V. **t’iqti**. **ts’irara.** adj. negro(a)",adverbo
ts’irarshu,"i. negrearse, negrear, ponerse negro(a)",verbo
ts’irarshuya,"t. negrear, poner negro(a). **ts’iti.** v. estar con el estómago lleno; s. ubre pequeña y llena de leche. V. **ñuñu**. ***t’iti*** **ts’iwri.** v. ordeñar; exprimir (ropa). **ts’uku** (1) v. golpear, dar puñetazo(s)",verbo
ts’ukpta,agarrar a puñetazos,verbo
ts’ukptishi,"empezar a golpearse, empezar a pelear a puñetazos",verbo
ts’ukuru,dar golpe (de puño). **ts’uku** (2) s. pelusa.***tr’uku*** **ts’uku** (3) v. coser,verbo
ts’ukt’a,"coser, dar una cosida",verbo
ts’ukura,descoser,verbo
ts’ukurqha,"descoser nuevamente, descoser otra vez. ## TY **tyajlla.** s. arado de pie. Es un palo largo terminado en punta, con un travesaño fuertemente amarrado en que se asienta el pie para hundir en la tierra la punta del arado. Se hace de maderas duras como las del",verbo
tyaqshu,"sacar de la olla (con cucharón o taza). **tyaqi** (2) p. e. onom. del sonido del hervor de la calabaza. **tyasha.** adj. pequeño(a), tierno(a), de poca edad (en Cachuy). V. **tyajsha**. - **tyi.** suf. se usa para interrogar o negar. Ej.:",verbo
tyuyshu,"amarillarse, amarillearse. *** **tyurtyu**. s. var. de tórtola.*** ## TYH **tyhapha.** s. y adj. ciego(a)",verbo
tyhaphtr’a,cerrar los ojos,verbo
tyhaphshu,"i. enceguecerse, volverse ciego(a)",verbo
tyhaphshuya,"t. enceguecer, volver ciego(a). **tyhijatha.** adv. uno(a) por uno(a); desde el comienzo. **tyhimi.** v. sobar; frotar; refregar la ropa",verbo
tyhimshu,"sobar, frotar",verbo
tyhimuru,sobar o frotar parte golpeada,verbo
tyhimwaqa,"sobar, frotar; curar mediante frotación. **tyhiphi** (1) v. tapar hueco; impedir paso del agua",verbo
tyhipht’a,tapar de una vez todo,verbo
tyhipuru,"meter (en hueco, rendija o recipiente). **tyhiphi** (2) s. moco seco, moco endurecido. V. **jinhara**. **tyhiphi** (3) v. tirar piedra (con la mano u honda)",verbo
tyhiphshu,"derribar de un solo tiro, bajar de un solo tiro (pájaro, fruta). **tyhuktyhuka.** adv. con pasos menudos y rápidos",verbo
ty’impshu,"voltear la ropa, poner la ropa al revés",verbo
ty’impta,remangar. **ty’impu** (2) o **ty’impi.** v. hervir con intensidad,verbo
ty’impuru,"rebosar, salirse (agua hirviente). **ty’inki.** v. rodar; caer rodando. **ty’inqu.** s. pajarito de color negro que se lanza en picado y asciende rápidamente; v. volar subiendo y bajando; correr saltando. **ty’ipi** , **ty’ipshu** V. **ch’ipi** (2). **ty’iwqu** o **ty’uqu** V. **ch’uqu**. ## TR **-tra** (1) suf. variante de -",verbo
trakatsa,"ahondar, profundizar. **trana.** p. e. onom. del zumbido",verbo
trumshu,"deshacer por presión, deshacer aplastando (terroncitos o bultitos de material diverso). **trunka.** s. y adj. diez",verbo
trunkasana,"diez para cada uno(a). ## TRH - **trhatrha.** suf. acción en pequeña escala, con movimientos breves o finos. Ej.:",adverbo
trhanara,"desatarse, desamarrarse",verbo
trhant’a,adornar,verbo
trhant’a,amarrar (colgando adornos),verbo
trhant’ishi,"adornarse. ***amarrarse (no ""adornarse"")*** **trhapa.** s. nido; adj. despeinado(a), desgreñado(a)",verbo
trhapay- trhapa,"muy despeinado(a), muy desgreñado(a). **trhaqtrhaqta.** v. sonar fuerte (pasos o pisadas). **trharka.** s. ortiga. **trhasu.** adj. maduro(a) (cereales, etc.)",adjetivo
trhasshu,"ponerse duro(a) (por haberse pasado de maduro(a): maíz, calabaza, etc.). **trhawa.** adj. crudo(a) (insuficientemente cocido(a), o que no se ha puesto a cocer); verde, no maduro(a)",verbo
trhawaya,"dejar de, cesar de",verbo
trhimpurushi,"precipitarse (alud, avalancha, huaico). **trhuqaya.** s. zorzal. ## TR’ **tr’ajsu.** v. exponer al sol, solear (varios días la chacra ya sembrada); v. i. solearse, tomar baños de sol, estar echado(a) soleándose. ***tr’ajsi*** **tr’ama** V. **ts’ama. tr’apa.** v. i. caer(se)",verbo
tr’apaya,"t. hacer caer, derribar (por ej., árbol(es))",verbo
tr’aptr’apara,caerse muchos(as),verbo
tr’aptr’aparaya,"derribar muchos(as). **tr’aqa.** adj. con pintas, de varios colores, con manchas de un color sobre fondo de color diferente (vaca, chivo, gato, etc.). **tr’aqshu.** v. resecarse (por ej., la piel); **tr’aqshuta.** adj. de piel resecada, con la piel reseca. **tr’aqaya.** v. azotar, latiguear; s. azote, látigo. **tr’asa** (1) v. sentir ardor en el ojo (por gota de limón o naranja que ha salpicado). **tr’asa** (2) s. una variedad de arbusto. **tr’ayara.** s. arbusto de madera dura. **tr’iqa** V. **ts’iqa**. **tr’iqaya.** v. tirar con piedra (tomando puntería); disparar; dar capirotazo, dar ""tincazo"".***ch’iqaya*** **tr’íqisi.** s. arbusto utilizado para leña; de sus ramas fabrican cunas. V. **tira**. **tr’iqu.** s. escarabajo. **tr’isa.** s. pequeño cuerpo extraño (pajita seca, pelusa, partícula sólida que lleva el viento, etc.) que entra al ojo o al agua de recipiente. **tr’iwsi.** v. asustarse súbitamente, sobresaltarse",verbo
tr’iwspta,"asustarse súbitamente. **tr’uku** V. **ts’uku** (2). **tr’uqu.** v. romper (hilo, cuerda, soga)",verbo
tr’uqkha,"romper de repente (hilo, cuerda, soga)",verbo
tr’uqkhishi,"romperse (hilo, cuerda, soga). **tr’urqu**. s. pus",verbo
diwi,deber (tener deuda),verbo
faburna,"en favor de, a favor de",adverbo
ichnuqu,poner o colocar (objeto o cuerpo no pequeño) con las dos manos,verbo
ichpta,"alzar o levantar (con ambas manos, objeto o cuerpo no pequeño)",verbo
ichqhasa,(sos)tener en brazos,verbo
ichthapa,poner sobre algo objeto o cuerpo no pequeño; poner algo sobre el fogón,verbo
icht’a,"cargar un momento (con las dos manos, objeto o cuerpo no pequeño). **icha** (2) p. e. creer que. Ej.:",verbo
ichhichhu,lugar donde abunda el ichu. **ityitya.** adj,sustantivo
ijpta,"alzar el vestido; destapar algo para ver. **ijrana.** adv. de frente, recto, derecho; por. Ej.:",verbo
ikanhsqhasa,bostezar. V. **anhsa** (1),verbo
ikata,"dormirse, quedarse dormido(a); **ikatata.** adj. dormido(a)",verbo
iktrhawa,tener sueño interrumpido o incompleto,verbo
ikichi,"acostarse, dormir",verbo
ikchiyi,"hacer acostar, poner a dormir",verbo
ikkipa,dormir un rato,verbo
ikk’aywi,"dormitar, cabecear (de sueño). V. **k’aywi**",verbo
iknushu,"cama, dormitorio",sustantivo
íkqutru,dormi-lón(na),sustantivo y adjetivo
ikuru,"dormir un momento (de día), tomarse una siesta. **ikiri.** s. placenta. **iknushu** V. **iki**. **ikha.** v. arrear ganado; mover piedra(s)",verbo
ikhaya,"hacer arrear, hacer mover piedra(s)",verbo
ikharpaya,"botar (a animal en el campo), dejar libre; botar o echar de la casa (por mal comportamiento), dejar libre; botar o soltar piedra(s), hacerla(s) rodar",verbo
ikhikhara,desorganizar o dispersar (a un grupo de personas o animales); dispersarse (grupo o manada) por aquí y por allá,verbo
ikhkipa,arrear hacia otro campo o chacra pasando sobre el muro o cerco (o sin que medie este obstáculo); voltear una piedra,verbo
ikhishi,"seguir la manada a otros animales (por ej., porque se han familiarizado)",verbo
ikhnaqa,arrear por aquí y por allá; mover piedras por aquí y por allá,verbo
ikhnatsa,arrear hacia abajo,verbo
ikhpta,arrear todo el ganado,verbo
ikhshu,"arrear el ganado hacia afuera, sacar el ganado de la chacra o corral para llevarlo a pastar; mover o sacar una piedra clavada en el suelo",verbo
ikhuru,"arrear hacia adentro. **ikht’ishi.** v. i. oscurecerse, cerrarse (el cielo, cuando va a llover). **iluru.** v. echar a la bolsa, meter en la bolsa; meter en la casa; meter al corral; ponerse (ropa, zapato, media), vestirse; meter agua, traer agua (en riego). **illa** (1) v. ver, mirar; cuidar; parecer, tener la apariencia; **illiri.** s. el/la que ve, el/la que cuida, vidente, testigo; variedad, clase; color",verbo
illarpaya,mirar en diferentes direcciones,verbo
illaya,"hacer ver, hacer mirar; mostrar; editar, publicar",verbo
illillara,mirar en todas direcciones,verbo
illishi,"verse, mirarse (uno(a) mismo(a))",verbo
illishqha,"volver a verse, volver a darse un vistazo",verbo
illkata,mirar,verbo
illkha,ver de repente; distinguir,verbo
illmuku,"mirar todo rápidamente, de paso",verbo
illnaqa,mirar por aquí y por allá,verbo
illnatsa,"ver o mirar hacia abajo. ***illnatst’a, no ""illnats’a""***",verbo
illnuqu,ver todo,verbo
illpta,ir a ver (para enterarse de algo); mirar hacia arriba,verbo
illqha,"volver a ver, volver a mirar; revisar",verbo
illqhasa,"mirar fijamente, clavar la mirada; mantener fija la mirada",verbo
illqhullu,"empezar a ver, empezar a mirar",verbo
illshu,"buscar con la mirada; rebuscar bien un lugar; **illshkiri.** s. el/la que ve todo, conocedor(a) del lugar",verbo
illtata,i. despertarse; **illtatata** adj. despierto(a),verbo
illtataya,"t. despertar, hacer despertar",verbo
illt’a,"conocer (a una persona); reconocer; reconocer (a hijo(a) ante la ley); diagnosticar; identificar; **illt’ata.** adj. conocido(a), reconocido(a), identificado(a)",verbo
illt’aya,"mostrar, hacer ver; hacer conocer, hacer reconocer, hacer diagnosticar, hacer identificar",verbo
illt’ishi,conocerse (mutuamente); **illt’ishmashi.** s. conocido(a) de uno(a),verbo
illt’qha,reconocer,verbo
illt’qhasa,"clavar la mirada, fijar la vista (en algo o en alguien)",verbo
illuru,mirar hacia adentro,verbo
illyishi,"hacerse ver, dejarse ver; hacerse exa-minar (por el médico). **illa** (2) s. plata. (TMX-JCT) **íllaqa.** s. plato. **íllawa.** s. palito que se pone en el telar para guiar o separar la urdimbre. **-illi** V. **-lli. ílliri, íllkiri** V. **illa** (1). **illishi** , **illishqha** V. **illa** (1). **illpa.** s. mantel para mesa; talega o costal blanco (de tocuyo); cernidor, coladera; v. colar, cernir (T M X-J C T). V. **nunku**. **illt’a** V. **illa** (1). **ima.** v. sembrar; cultivar; s. siembra, cultivo",verbo
imimara,sembrar en varios sitios,verbo
impta,sembrar mucho,verbo
imuru,"sembrar dentro de un hoyo. **imkha.** v. esconder, ocultar; **imkhata.** adj. escondido(a), ocul- to(a)",verbo
imkhatcha,"a escondidas, ocultamente",adverbo
imkhityi,ocultarse. (Esta palabra aparece en un relato que Martha Hardman consigna en su libro,verbo
imkhanushu,"escondite, escondrijo, lugar donde esconder o esconderse",sustantivo
imkhshu,"esconder todo, ocultar todo. **imkhatcha** V. **imkha**. **-imna** , **-inhna** , **-isna.** suf. Es lo mismo que -",verbo
inkantata,encantado(a),adjetivo
inkantishi,"encantarse, quedar encantado(a) (sujeto(a) al influjo del encanto, cautivo(a) por el encanto)",verbo
inkishi,curarse,verbo
inknushu s,"remedio, medicina, insecticida, pesticida; veneno",desconocido
inkshu,"t. curar completamente; curar ritualmente (por ej., echando sangre de animal sacrificado para no perjudicarse al buscar o sacar tesoros ocultos). **inti.** s. el sol, sol",verbo
intaskama,"hasta donde está la luz del sol, hasta donde llega la luz del sol",adverbo
intinti,"sol radiante (los primeros rayos, aproximadamente a las siete de la mañana). **intirra.** v. enterrar (en general, incluso muertos(as)). V. **pampa** (2). **inuqu.** v. poner, colocar (sobre algo)",sustantivo
inuqshu,"distribuir proporcionalmente en el terreno el agua de riego. **inya. s.** amuleto, objeto pequeño en forma de animal (vaca, oveja, etc.) que conservan para propiciar la fertilidad del ganado; duende (en ruinas incaicas). **inyikshunha.** s. inyección. V. **chanta.** iñi. v. vadear, caminar en el agua",verbo
-isna,esperanza. **isqi.** s,sustantivo
ishara,"todavía, antes que",adverbo
ishishi,"escuchar, oír; entender, obedecer; **ishpiri** o **ishap- kiri.** s. oyente, escuchante, el/la que oye o escucha (nótese en",verbo
ishapqhasa,"permanecer oyendo o escuchando, escuchar atentamente",verbo
ishapt’a,detenerse a escuchar un momento. **ishara** V. **isha**. **ishi.** s. frazada,verbo
ishqa,cubrir con frazada,verbo
ishqishi,"cubrirse con frazada. **ishishi** V. **isha**. **ishkha.** p. e. ?caramba!, ?cómo pues! (expresa cierto reproche). Ej.:",verbo
ishk’shu,orinar. **-ishtu.** suf,verbo
isht’ara,abrir. **-itu.** suf,verbo
jachshu,"estornudar. **jachirra** V. **achira**. **jach’a.** s. hacha. **jatsa.** v. llorar; cantar, emitir voz (animales); sonar; s. llanto; lágrima",verbo
jatspaya,llorar al lado de otro(a),verbo
jatstata,"estar por llorar.***empezar a llorar*** **jatyi.** adj. cocido(a); v. cocinar, cocer; **jatyiri.** s. cocinero(a); **jatyita.** adj. cocinado(a), cocido(a)",verbo
jatyjatyara,terminar de cocinarse todo,verbo
jatyiya,cocinar; **jatyaykiri.** s. cocinero(a),verbo
jatypta,"cocinar todo. **jaja.** v. exhalar, echar aire por la boca",verbo
jajtata,"i. manifestar vida, manifestar energía (un cerro, la tierra, etc., por ej., cuando un animal canta o aparece); empezar a vivir; revivir, resucitar. **jajch’i.** s. gavilán. **jajch’uru.** v. ponerse el sol o la luna (al llegar al final de su recorrido o vuelta). **jajkipa.** v. voltear la esquina, dar vuelta a la pared; tramontar, pasar al otro lado de cerro o montaña; s. vuelta, curva o recodo del camino. **jajnatsa.** v. i. bajar, bajarse; s. bajada",verbo
jajnatsqha,"bajarse, volver a bajar",verbo
jajnuqu,"aterrizar, posarse (en árbol, etc.)",verbo
jajnuqpta,posarse todos(as) en el mismo lugar (aves),verbo
jajuru,caer (a hueco o precipicio); hundirse (en el lodo); descontar(se); ukchatkasa jajurpha,verbo
jajwaqa,"asentarse, tomar punto (sopa, caldo)",verbo
jajptnuqu,"volar, echarse a volar todos(as) al mismo tiempo (aves de un árbol). **jajtata** V. **jaja**. **jajuru** V. **jajnatsa**. **jajwaqa** V. **jajnatsa**. **jaka.** v. vivir; sobrevivir; s. vida",verbo
jaknushu,lugar para vivir,sustantivo
jakt’a,vivir un poco más,verbo
jakshu,"crecer (gente o animales). **jakata.** v. acercarse, aproximarse (hacia allá), pasar al otro lado. **jaktratra.** En Cachuy es lo mismo que",verbo
jarrákishi,"aguja de arriero, aguja grande (para coser costales, con lana, etc.). **jakkha.** v. montar (caballo, bicicleta, etc.)",sustantivo
jalaya,"hacer caer, dejar caer; soltar (al suelo)",verbo
jaljala,"caerse seguido, caerse una y otra vez",verbo
jaljalara,caer (por aquí y por allá); caerse las cosas que uno(a) lleva o que está acomodando,verbo
jalkipa,"caer volteándose, volcarse",verbo
jalkipshu,"caer volteándose todo, todos(as); volcarse todo, todos(as)",verbo
jalkha,"caerse, doblarse (plantas que se secan). **jalkipa** V. **jala**. **jalkha** o **jalkhaya.** v. partir en dos, cortar en dos (con cualquier instrumento)",verbo
jalkhishi,"partirse en dos, cortarse en dos; cansarse o agotarse totalmente. **jalshu.** v. salir(se)",verbo
jalthruya,"hacer que el suelo se hunda, o hacer que en él se forme depresión u hoyo (por acción del agua). **jaluru.** v. entrar, ingresar; s. entrada; prólogo",verbo
jallpshu,lamer todo (sin dejar sobra),verbo
jallpiya,hacer lamer,verbo
jallpshuya,hacer lamer todo. **jallq’u.** s. perro,verbo
jalljallu wayta,"excremento, caca, heces fecales; v. defecar, cagar",sustantivo
jamnushu,"lugar donde se defeca, baño",sustantivo
jamasana,ensuciado(a) o embadur-nado(a) con excremento,adjetivo
jamaya,"obtener ganancia o interés (de dinero prestado o depositado en el banco). (col.) **-jama.** suf. como, parece (indica semejanza o comparación). Ej.:",verbo
janawaya,hacer aparecer,verbo
janawayqha,volver a hacer aparecer,verbo
janawqha,"i. reaparecer, volver a aparecer. **janchi.** s. carne; cuerpo",verbo
janchshu,sacar la piel y dejar carne al descubierto,verbo
janchshqha,"regenerarse la carne, regenerarse la piel. **jani.** adv. no (prohibitivo). Ej.:",verbo
janira,"todavía, no todavía, antes que",adverbo
jankhara,desatar atado (de carga o fiambre),verbo
jankhjankhara,desatar todo el atado (de carga o fiambre),verbo
jankhnushu,manta para cargar,sustantivo
jankht’a,"acomodar en la manta lo que se va a llevar, envolver en la manta lo que se va a llevar",verbo
jankhts’a,"atado. **jank’u.** s. tendón, nervio; adj. resistente (lo que es flexible); **jank’shuta.** adj. flaco(a). **janq’u.** adj. blanco(a)",sustantivo
janq’shu,"blanquearse, desteñirse; empalidecer; **janq’shuta.** adj. blanqueado(a), desteñido(a), desco-lorido(a), pálido(a)",verbo
janq’shuya,"t. blanquear, poner blanco(a)",verbo
janq’uyjanq’u,"blanquísimo(a). **japi.** adj. embarazada, encinta, preñada",adjetivo
japiwt’a,"salir embarazada, resultar encinta, salir o quedar preñada. **japutsa.** s. hija. V. **jiryunda**. **jaqi.** s. gente, persona; dueño(a)",verbo
jaqini,"con gente, que tiene gente; con dueño(a), que tiene dueño(a)",adjetivo
jaqaru,"jacaru (idioma semejante al aimara altiplánico, hablado en Ayza, Colca, Cachuy y Tupe, provincia de Yauyos, dpto. de Lima), cauqui (nombre que los hablantes de jacaru dan a su idioma cuando hablan en castellano; nombre que los lingüistas dan a la variedad de jacaru que hablan en Cachuy)",sustantivo
jaqmashi,"amigo(a), prójimo(a), vecino(a), persona como uno(a) mismo(a)",sustantivo
jaq-wishi,"sin gente, sin dueño(a); jaqwishi marka",adjetivo
jaqurpaya,"arrojar con ira en cualquier dirección; **jaqurpayata.** adj. arrojado(a), botado(a); s. lo arrojado, lo botado",verbo
jaquru,"arrojar, botar (a zanja, abismo o profundidad)",verbo
jaqjaqara,"arrojar o tirar por aquí y por allá, dejar las cosas tiradas por aquí y por allá",verbo
jaqmuku,arrojar o botar en forma violenta; arrojar de pasada,verbo
jaqnatsa,botar desde la parte alta hacia el suelo; botar,verbo
jaqshtra,"salirse, rebosar (líquidos, etc., sea por hervor o no). V. **apshtra**",verbo
jaqshu,"botar de adentro hacia afuera; quitar, apartar; descartar, dejar de lado; quitar algo del camino; quitarse el vestido de luto (al cumplirse el año de duelo)",verbo
jaqt’a,"tirar, arrojar; abandonar (hijo(a) o animal doméstico); botar (rechazando algo o devolviéndolo). **jarawa.** v. cantar (canciones alusivas a la siembra)",verbo
jarawt’a,"ponerse a cantar, cantar (canciones alusivas a la siembra). **jari.** v. lavar (manos, cabeza, cara, pies, el cuerpo, pero no ropa)",verbo
jarshu,"lavar completamente, lavar todo (manos, cabeza, cara, pies, el cuerpo, pero no ropa). **jaripi.** s. costilla",verbo
jarqpta,"mezclar, entreverar. **jarqha** V. **jaru. jarq’a.** v. sacarse (ropa, zapato, media)",verbo
jarq’arpaya,sacarse la ropa apresuradamente y tirarla en cualquier parte,verbo
jarq’arq’ara,dejar la ropa tirada después de sacársela,verbo
jarq’shuyu,"t. desvestir. **jarricha.** adj. sexualmente excitado(a) (gente o animal); v. estar dispuesto(a) para el coito; entrar en celo, estar en celo. **jarrisku.** adj. cimarrón(na), montaraz",verbo
jarriskshu,"volverse cimarrón(na), volverse montaraz.***jarriska*** **jaru.** adj. picante, que hace picar o arder, amargo(a); s. bilis, vesícula biliar; v. arder, picar (ají, etc.)",verbo
jarkha,"arder, picar (ají, etc., al momento de comer o beber)",verbo
jarqha,"volver a picar o arder. **jarwaqa.** v. quedar, quedarse; sobrar; **jarwaqiri.** s. resto, sobra. **jasa.** v. aceptar",verbo
jasaya,"hacer aceptar; importunar, insistir. **jaski.** adj. fácil",verbo
jaskijaski,facilísimo(a). **jaw(a).** adv. sí,adjetivo
jawch’ishi,morderse mutuamente,verbo
jawch’kha,arrancar de un mordisco porción o trozo; morder sorpresivamente (perro),verbo
jawch’khishi,morderse (uno(a) mismo(a) involuntariamente). **jawi.** v. gotear; s. gota. V. **ts’aqa** (1),verbo
jawiri,acumulación de agua de gotas,sustantivo
jawkipa,rebosar; desbordarse (río),verbo
jawnatsa,"rebosar, derramarse",verbo
jawshu,"sacar, extraer (jugo, líquido)",verbo
jawt’aya,"echar goteando, hacer gotear; echar o verter con chorro delgado. **jawjaw** ( **a** ). p. e. guauguau ( del ladrido). **jawla.** s. jaula. **jaya** (1) adv. lejos; largo tiempo, mucho rato; adj. lejano(a), remoto(a)",verbo
jayasa,"hace mucho tiempo, antaño, en tiempos antiguos, muchísimo tiempo atrás; adj. de tiempo antiguo, de tiempo remoto, de antes, antiguo(a)",adverbo
jayaskha,ya hace tiempo,adverbo
jayatha,"de lejos, desde lejos",adverbo
jaytraqa,un poco lejos,adverbo
jayjaya,"muy lejos, muy separadamente, con (mucho) espaciamiento; adj. espaciado(a), distanciado(a), alejado(a)",adverbo
jayshu,"prolongarse, alargarse (tiempo)",verbo
jayshuya,"t. prolongar, alargar (tiempo); postergar, prorrogar. **jaya** (2) p. e. ya pues (rogando). **jayaskha** V. **jaya** (1). **jaycha.** v. pegar, golpear",verbo
jaycharqaya,"pegar, golpear (varios(as) a uno(a))",verbo
jaychishi,"pelear, agarrarse a golpes; guerrear; s. pelea, lucha; guerra",verbo
jaychishpta,empezar a pelear,verbo
jaychshirqaya,"pelear, golpearse (mutuamente)",verbo
jaychkha,"matar; **jaychkhiri.** s. asesino(a), matante; **jaychkhata.** adj. asesinado(a)",verbo
